intent,recipient,keyword_count,distinct_keyword_count,best_rank,p25_rank,top100_count,top1000_count,active_months,example_keywords
apparel,wife,99,40,69865,361553.5,0.0,0.0,4,wifey sweatshirt | let me ask my wife shirt | the man who mistook his wife for a hat | let me ask my wife hat | my wife is psychotic shirt
christmas,son,24,18,73428,392923.25,0.0,0.0,2,christmas card for son | son christmas card | christmas card son | christmas cards for son | son in law christmas card
apparel,dog mom,24,8,75186,230942.25,0.0,0.0,4,dog mom sweatshirt | dog mom shirt | dog mom hat | dog mom sweatshirt women | dog mama sweatshirt
christmas,daughter,44,27,78603,261767.0,0.0,0.0,2,christmas card for daughter | son and daughter in law christmas card | daughter christmas card | christmas card for son and daughter in law | christmas card daughter
birthday,son,53,15,79273,293853.0,0.0,0.0,4,birthday card for son | son birthday card | son in law birthday card | birthday card son | birthday cards for son
memorial,dad,20,8,97879,478771.75,0.0,0.0,4,memorial gift for loss of dad | bereavement gift for loss of father | dad memorial gift | in memory of dad | dad memorial ornament
personalized,girl,109,57,104794,572936.0,0.0,0.0,4,personalized blanket for girls | halloween custom for girls | cat custom for girls | personalized necklaces for girls | personalized baby blanket for girls
decor,son,4,1,111114,153156.75,0.0,0.0,4,here comes the son baby shower decor
matching,dad,73,36,162833,630094.0,0.0,0.0,4,dad and son matching shirt | father son matching shirt | dad and baby matching outfits | daddy and me matching outfits | dad and son matching outfits
matching,grandma,2,1,166719,273647.5,0.0,0.0,2,grandma and me matching outfits
decor,teacher,23,9,173365,496763.5,0.0,0.0,4,teacher desk decor | please sign and return stamp teacher | sign and return stamp teacher | teacher decor | teacher classroom decor
apparel,cat mom,9,4,180134,393300.0,0.0,0.0,4,cat mom shirt | cat mom sweatshirt | cat mom hat | cat mom shirt for women
apparel,husband,62,22,182253,465419.75,0.0,0.0,4,sorry about my husband hat | trophy husband shirt | mr potato head shirt | emotional support husband shirt | mr incredible shirt
matching,boy,30,11,184334,627882.75,0.0,0.0,4,mommy and me hospital outfits baby boy | raven and beast boy couple costume | mom and baby boy matching outfits | boys matching sets | boys matching christmas pajamas
anniversary,grandma,4,2,187132,274465.0,0.0,0.0,3,nana 25th anniversary edition | nana anniversary edition
decor,mom,8,4,193750,437965.75,0.0,0.0,4,mama mia party decorations | mum decorations homecoming | homecoming mum decorations | how i met your mother poster
birthday,grandma,25,7,198597,537077.0,0.0,0.0,4,grandma birthday card | happy birthday grandma | birthday card for grandma | nana birthday card | grandma birthday
appreciation,wife,9,4,203185,397857.0,0.0,0.0,4,pastor wife appreciation gift | pastors wife appreciation gift | pastor and wife appreciation cards | pastor and wife appreciation gift
personalized,boy,50,24,208422,680731.0,0.0,0.0,4,ninja custom for boys | boys custom halloween | personalized blanket for boys | personalized baby blanket for boys | boy custom halloween
wedding,boy,19,9,217692,372526.5,0.0,0.0,3,toddler wedding outfit boy | baby wedding outfit boy | boys wedding guest outfit | baby boy wedding guest outfit | boys wedding outfit
apparel,son,18,7,221926,589493.75,0.0,0.0,4,favorite son in law shirt | my son in law is my favorite child shirt | favorite son shirt | son of a nutcracker shirt | sanford and son shirt
memorial,husband,4,1,231051,310450.5,0.0,0.0,4,memorial gift for loss of husband
christmas,grandma,27,19,258141,554367.0,0.0,0.0,2,grandma christmas ornament | christmas for grandma | grandma christmas card | christmas card for grandma | grandma christmas
matching,husband,15,8,297995,524235.5,0.0,0.0,4,husband and wife matching pajamas | wife and husband matching pjs | husband and wife matching outfits | husband and wife matching christmas pajamas | husband and wife christmas pajamas matching sets
decor,nurse,14,5,299174,707405.5,0.0,0.0,4,school nurse office decor | nurse office decor | nurse party decorations | nurse decor | nurse cake decorations
memorial,son,4,1,316382,410967.5,0.0,0.0,4,memorial gift for loss of son
personalized,grandma,17,11,335510,669004.0,0.0,0.0,3,custom grandma sweatshirt | personalized grandma sweatshirt | grandma sweatshirt personalized | personalized blanket for grandma | custom grandma shirt
wedding,husband,7,2,340961,462089.5,0.0,0.0,4,wedding anniversary card for husband | to my husband on our wedding day card
birthday,grandpa,8,3,351863,571670.25,0.0,0.0,4,grandpa birthday card | happy birthday grandpa | birthday card for grandpa
graduation,nurse,13,5,390687,581397.0,0.0,0.0,4,nurse graduation party decorations | nurse graduation card | new grad nurse essentials | rn graduation party decorations | nurse graduation decorations
christmas,grandpa,7,5,406735,713217.0,0.0,0.0,3,a grandpa for christmas | grandpa christmas card | christmas for grandpa | grandpa christmas ornament | christmas card for grandpa
appreciation,girl,11,7,426248,732680.5,0.0,0.0,3,thanks giving outfit baby girl | thanks giving outfits for girls | baby shower thank you cards girl | thanks giving outfit toddler girl | baby girl thank you cards
sympathy,mom,11,4,443762,538293.5,0.0,0.0,4,sympathy cards for loss of mother | sympathy card for loss of mother | loss of mother sympathy card | sympathy card loss of mother
appreciation,nurse,8,2,477805,566898.0,0.0,0.0,4,nurse appreciation gift | nurse appreciation gift bulk
matching,nurse,2,2,487386,576389.25,0.0,0.0,1,doctor and nurse costumes for couples | nurse and patient couples costume
personalized,nurse,1,1,499818,499818.0,0.0,0.0,1,nurse custom for women
anniversary,daughter,4,2,506961,589154.25,0.0,0.0,2,anniversary card for daughter and son in law | anniversary card for son and daughter in law
wedding,wife,5,2,509828,680558.0,0.0,0.0,3,wedding anniversary card for wife | mr and mrs sign for wedding table
