intent,product,keyword_count,distinct_keyword_count,best_rank,p25_rank,top100_count,top1000_count,active_months,example_keywords
wedding,tote bag,10,3,224765,416744.25,0.0,0.0,4,bride tote bag | bride tote | bride bag tote
apparel,blanket,2,1,234111,311590.0,0.0,0.0,2,blanket hoodie'
appreciation,ornament,7,3,240641,571629.5,0.0,0.0,2,thank you ornament | thank you christmas ornament | thank you ornament bulk
birthday,sweatshirt,18,12,245031,732173.5,0.0,0.0,3,go jesus its your birthday sweater | happy birthday jesus sweater | birthday girl sweatshirt | happy birthday jesus sweatshirt | birthday boy christmas sweater
appreciation,shirt,7,5,255297,470022.5,0.0,0.0,3,thanks giving shirt for women | its giving thanks shirt | thank you charlie kirk shirt | thanks giving shirt | thank you veterans shirt
memorial,shirt,5,3,259776,264981.0,0.0,0.0,1,charlie kirk memorial shirt | 911 memorial shirt | september 11 memorial shirt
retirement,ornament,4,2,264703,265290.25,0.0,0.0,2,retirement ornament 2025 | retirement ornament
gift,tumbler,6,4,277104,643899.5,0.0,0.0,2,tumbler gift set | tumbler gift box | tumbler gift bags | tumbler gift
wedding,blanket,15,5,278045,648309.0,0.0,0.0,4,bulk blanket for wedding | wedding blanket for guests bulk | blanket in bulk for wedding | wedding blanket | corpse bride blanket
matching,mug,29,16,319128,628836.0,0.0,0.0,4,couples mug | couple mug | his and hers coffee mug set | his and hers mug | matching mug
retirement,mug,10,5,343761,603172.0,0.0,0.0,4,retirement mug | retirement coffee mug | retirement mug for women | retirement coffee mug for women | retirement mug for men
anniversary,shirt,19,9,356577,465249.0,0.0,0.0,4,250 anniversary usa shirt | usmc 250th anniversary shirt | marine corps 250th anniversary shirt | 250th anniversary usa shirt | navy 250th anniversary shirt
apparel,ornament,8,6,366974,655386.75,0.0,0.0,2,cowboy hat ornament | sorting hat ornament | maga hat ornament | harry potter sorting hat ornament | cowboy hat ornament for tree
wedding,tumbler,4,1,402747,573426.0,0.0,0.0,4,bride tumbler
